Lfd. Nr.,Stadt,Postleitzahl,Fläche km,Bevölkerung gesamt,Bevölkerung männlich,Bevölkerung weiblich,Bevölkerung je km2
168,"Lingen (Ems), Stadt",49808,"176,19",53.905,26.677,27.228,"306,00"
169,"Pulheim, Stadt",50259,"72,15",53.834,25.981,27.853,"746,00"
170,"Bad Salzuflen, Stadt",32105,"100,05",53.746,25.803,27.943,"537,00"
171,"Bad Homburg v. d. Höhe, Stadt",61348,"51,16",53.707,25.444,28.263,1.050
172,"Langenhagen, Stadt",30853,"71,97",53.514,26.236,27.278,"744,00"
173,"Menden (Sauerland), Stadt",58706,"86,1",53.315,26.180,27.135,"619,00"
174,"Nordhorn, Stadt",48529,"149,87",53.286,26.280,27.006,"356,00"
175,"Neustadt an der Weinstraße, Stadt",67433,"117,09",53.209,25.873,27.336,"454,00"
176,"Ahlen, Stadt",59227,"123,13",52.905,25.899,27.006,"430,00"
177,Schweinfurt,97421,"35,7",52.724,25.637,27.087,1.477
178,"Wetzlar, Stadt",35578,"75,67",52.446,25.250,27.196,"693,00"
179,"Wolfenbüttel, Stadt",38300,"78,74",52.446,25.858,26.588,"666,00"
180,"Frechen, Stadt",50226,"45,06",52.171,25.422,26.749,1.158
181,"Goslar, Stadt",38640,"163,88",51.439,25.061,26.378,"314,00"
182,"Ibbenbüren, Stadt",49477,"108,87",51.289,25.320,25.969,"471,00"
183,Passau,94032,"69,56",51.074,24.380,26.694,"734,00"
184,"Kleve, Stadt",47533,"97,76",51.047,25.249,25.798,"522,00"
185,"Willich, Stadt",47877,"67,8",50.932,24.904,26.028,"751,00"
186,"Speyer, Stadt",67346,"42,71",50.551,24.413,26.138,1.183
187,"Emden, Stadt",26721,"112,34",50.486,25.205,25.281,"449,00"
188,"Gummersbach, Stadt",51643,"95,42",50.368,24.849,25.519,"528,00"
189,"Ravensburg, Stadt",88212,"92,05",50.095,24.683,25.412,"544,00"
190,"Bad Kreuznach, Stadt",55545,"55,56",50.034,23.729,26.305,"901,00"
191,"Peine, Stadt",31224,"119,84",49.676,24.507,25.169,"415,00"
192,"Böblingen, Stadt",71032,"39,04",49.611,24.416,25.195,1.271
193,"Erftstadt, Stadt",50374,"119,89",49.513,24.033,25.480,"413,00"
194,"Elmshorn, Stadt",25335,"21,37",49.206,24.084,25.122,2.303
195,"Lörrach, Stadt",79539,"39,37",49.153,23.676,25.477,1.249
196,"Bad Oeynhausen, Stadt",32545,"64,83",48.846,23.855,24.991,"754,00"
197,"Heidenheim an der Brenz, Stadt",89522,"107,09",48.709,24.145,24.564,"455,00"
198,"Cuxhaven, Stadt",27472,"161,92",48.551,23.048,25.503,"300,00"
199,"Bergkamen, Stadt",59192,"44,9",48.543,23.947,24.596,1.081
200,"Rheda-Wiedenbrück, Stadt",33378,"86,72",48.526,24.273,24.253,"560,00"
201,"Rastatt, Stadt",76437,"58,98",48.494,23.980,24.514,"822,00"
202,"Frankenthal (Pfalz), Stadt",67227,"43,88",48.445,23.483,24.962,1.104
